12B-cs2,12B-sc2,12B-cs,12B-sc
13.78641,5.66864,7.45137,24.62064
13.79098,5.67216,7.45297,24.6234
13.79574,5.67496,7.45803,24.62838
13.80047,5.67938,7.4645,24.63196
13.80325,5.683,7.46767,24.63498
13.80908,5.68582,7.47297,24.63744
13.8136,5.68996,7.47625,24.6418
13.81701,5.69168,7.48229,24.6461
13.82278,5.69612,7.48622,24.6497
13.82837,5.70048,7.4904,24.65154
13.8322,5.70312,7.49358,24.6554
13.83534,5.7066,7.49947,24.65878
13.83987,5.70972,7.50314,24.66338
13.8444,5.71406,7.50766,24.66604
13.84961,5.71818,7.51289,24.66842
13.85321,5.72038,7.51639,24.67262
13.85692,5.72324,7.52136,24.67546
13.86118,5.72624,7.52603,24.67988
13.86685,5.73082,7.5309,24.684
13.86991,5.73468,7.53461,24.68684
13.87401,5.73654,7.53906,24.6911
13.87965,5.7413,7.54174,24.69298
13.88488,5.74384,7.54877,24.6968
13.88766,5.7477,7.55085,24.7004
13.89172,5.7512,7.558,24.70304
13.89837,5.75524,7.5603,24.70742
13.90271,5.75884,7.56616,24.71054
13.90543,5.76122,7.56942,24.71378
13.91049,5.76536,7.57565,24.71832
13.91594,5.76896,7.57758,24.72024
13.92065,5.77194,7.58178,24.72396
13.92468,5.7766,7.58818,24.72818
13.92831,5.77906,7.59148,24.73196
13.93208,5.78228,7.5949,24.73506
13.93705,5.78588,7.60157,24.73842
13.94124,5.78932,7.60444,24.74176
13.9466,5.79318,7.61064,24.74464
13.95143,5.79618,7.61426,24.7486
13.95567,5.7997,7.61749,24.75266
13.96085,5.8041,7.62364,24.75512
13.96471,5.80634,7.62612,24.75966
13.96732,5.81034,7.63258,24.76222
13.97147,5.814,7.63586,24.76628
13.97898,5.81676,7.63948,24.77068
13.98257,5.82132,7.64557,24.77298
13.98756,5.82412,7.65059,24.77676
13.99094,5.82782,7.65268,24.77866
13.99608,5.83062,7.6571,24.78322
13.9987,5.83436,7.66445,24.78688
14.00392,5.83854,7.66859,24.78994
14.00914,5.84032,7.67162,24.79382
14.01238,5.84456,7.67633,24.79626
14.01677,5.84854,7.67931,24.80046
