250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
817.35212,109.04357,21.38573,,,1181.12963
817.35388,109.04422,21.38716,,,1181.1176
817.35813,109.04563,21.38896,,,1181.12086
817.35419,109.04544,21.38601,,,1181.12482
817.35633,109.04259,21.38814,,,1181.12812
817.35486,109.04243,271.38415,,,1181.13212
817.35757,109.04348,21.38492,,,1181.11917
817.35825,109.0433,21.38709,,,1181.12316
817.35778,109.04444,21.38858,,,1181.12634
817.359,109.04427,21.38639,,,1181.13054
817.36052,109.04523,21.38748,,,1181.11771
817.35733,109.0467,21.38532,,,1181.12176
817.35558,109.04415,21.38681,,,1181.12514
817.35831,109.04413,21.38462,,,1181.12864
817.35639,109.04474,21.39,,,1181.11606
817.35929,109.0447,21.38782,,,1181.12007
817.35859,109.04565,21.3892,,,1181.12329
817.35708,109.04706,21.38748,,,1181.12731
817.35458,109.04416,21.38823,,,1181.13054
817.3568,109.04557,21.38651,,,1181.1185
817.35968,109.04553,21.38347,,,1181.12144
817.35764,109.04649,21.38571,,,1181.12537
817.35647,109.04397,21.38693,,,1181.12843
817.35643,109.04383,21.38497,,,1181.11641
817.35579,109.04487,21.38654,,,1181.11966
817.358,109.04631,21.38484,,,1181.12364
817.35651,109.04615,21.38594,,,1181.12694
817.35748,109.04332,21.38398,,,1181.11492
817.35358,109.04472,21.38971,,,1181.1181
817.35474,109.04459,21.38804,,,1181.12206
817.35461,109.04525,21.38553,,,1181.12508
817.35675,109.04665,21.38779,,,1181.12906
817.35477,109.04659,21.38528,,,1181.11631
817.35737,109.04364,21.38751,,,1181.12033
817.35619,109.04342,21.38892,,,1181.12354
817.35833,109.04393,21.39094,,,1181.12753
817.3535,109.04361,21.38454,,,1181.13076
817.35753,109.04433,21.38631,,,1181.11875
817.35869,109.04416,21.38778,,,1181.12197
817.3576,109.0457,21.38604,,,1181.126
817.35632,109.04322,21.38789,,,1181.12897
817.36016,109.0447,21.38625,,,1181.11697
817.35767,109.04429,21.38806,,,1181.12023
817.35769,109.04567,21.38641,,,1181.12426
817.35427,109.04553,21.38371,,,1181.12753
817.35939,109.04233,21.38982,,,1181.11554
817.35663,109.04263,21.38696,,,1181.11879
817.3585,109.04331,21.38526,,,1181.12274
817.35676,109.04478,21.3867,,,1181.12603
817.35477,109.04467,21.38892,,,1181.12883
817.3588,109.04571,21.38646,,,1181.11682
817.35303,109.0456,21.39272,,,1181.12001
817.35867,359.04557,21.38606,,,1181.12399
817.35687,109.04637,21.38825,,,1181.12723
817.35482,109.04214,21.38581,,,1181.13124
817.35977,109.04285,21.38806,,,1181.13426
817.35803,109.04269,21.38562,,,1181.12226
817.35876,109.04422,21.38795,,,1181.12551
817.35548,109.04571,21.38545,,,1181.12951
817.35751,109.04537,21.38768,,,1181.13193
817.35861,109.04644,21.38912,,,1181.13593
817.35518,109.04394,21.38723,,,1181.12291
817.35608,109.04546,21.38869,,,1181.12695
817.35686,109.04556,21.38686,,,1181.13019
817.35642,109.04615,21.38832,,,1181.11816
817.35612,109.04613,21.39031,,,1181.12139
817.35782,109.04325,21.38781,,,1181.1254
817.35554,109.04476,21.38614,,,1181.12863
817.35356,109.04618,21.3876,,,1181.11661
817.36169,109.04378,21.38594,,,1181.11986
817.35817,109.0436,21.38707,,,1181.1239
817.35619,109.04472,21.3854,,,1181.12715
817.35793,109.04477,21.3908,,,1181.13113
817.35974,109.04616,21.38514,,,1181.11839
817.35797,109.04578,21.38704,,,1181.12236
817.36122,109.04291,21.38935,,,1181.12555
817.35797,359.04505,21.3908,,,1181.12951
817.35596,109.04585,21.3889,,,1181.11674
817.35508,109.046,21.39032,,,1181.12068
817.35573,109.0471,21.38865,,,1181.12369
817.35456,109.04286,21.39021,,,1181.12766
817.35805,109.04393,21.38455,,,1181.13089
817.35719,109.04539,21.38997,,,1181.11886
817.35803,109.04522,21.38434,,,1181.12209
817.3544,109.04262,21.38556,,,1181.12609
817.3596,109.04641,21.38719,,,1181.12932
817.35705,109.04314,21.3845,,,1181.11731
817.35714,109.0447,21.38675,,,1181.12024
817.35724,109.04222,21.38832,,,1181.12423
817.35649,109.04648,21.39056,,,1181.12718
817.36002,109.04364,21.38786,,,1181.11516
817.36112,109.0451,21.38615,,,1181.1184
817.35874,109.04496,21.38759,,,1181.12244
817.35635,109.04601,21.38569,,,1181.12568
817.35802,109.0451,21.38677,,,1181.1296
817.35807,109.04275,21.38891,,,1181.13289
817.35786,109.0458,21.38643,,,1181.12092
