1024B-ESPNOW,128B-ESPNOW,12B-ESPNOW,1024B-SPP,128B-SPP,12B-SPP,1024B-Bluedroid,128B-Bluedroid,12B-Bluedroid,1024B-TCP,128B-TCP,12B-TCP,1024B-Websockets,128B-Websockets,12B-Websockets,1024B-UDP,128B-UDP,12B-UDP,1024B-NimBLE,128B-NimBLE,12B-NimBLE
23.91786,5.86664,5.71645,38.59605,10.28453,13.88974,40.39651,26.65947,17.04354,10.6352,13.53685,7.23264,7.75437,11.08687,15.05463,8.83761,10.50671,18.37196,32.96758,31.46503,15.39024
23.96774,5.88693,5.67969,21.90837,13.72365,12.16184,30.41046,16.66235,22.06955,6.9978,12.75199,5.55426,8.60748,13.07871,13.00097,10.26073,10.39848,5.26721,22.97105,21.47899,5.39699
23.956,5.90923,5.69301,15.86786,12.71519,11.13001,36.9413,21.67509,12.0751,11.12845,15.62741,2.87722,8.25013,11.53025,13.29811,3.39742,12.98089,12.3595,42.98962,41.4872,25.40807
23.91591,5.88038,5.6753,31.2793,10.36567,13.87311,52.76168,26.68006,17.08515,8.30225,12.36247,5.15234,12.51796,17.06872,15.4001,11.66938,18.11096,15.01548,32.99335,31.50196,45.4144
23.9395,6.99273,6.17368,19.3593,13.76256,25.88728,30.43199,16.69273,7.07678,12.06612,11.47312,2.37107,11.43805,13.53609,12.41464,7.02307,12.17606,7.66763,43.73474,21.51413,5.42892
23.89825,5.84,5.64879,15.86841,11.52011,11.21317,36.9567,21.69766,12.08479,8.58675,13.46641,2.04341,11.47567,14.667,12.83366,8.01858,6.48524,5.69306,43.01697,41.52631,25.9435
23.98398,8.54035,5.95019,17.34337,10.28141,13.91505,40.44655,26.71049,17.10641,6.31058,11.87762,4.17666,10.51125,13.21061,12.25481,7.68056,15.52098,9.46887,33.03268,31.53341,15.46528
24.46026,7.46953,5.70152,18.1209,24.93474,12.17866,30.45196,16.71327,7.12203,11.40595,13.01185,3.7853,12.12695,11.6862,12.47246,7.47259,14.48265,9.2662,23.02927,21.54703,35.47238
23.92496,5.88204,5.7099,15.90091,12.7208,12.40387,36.99914,21.72609,12.11606,7.56245,12.61548,5.0522,9.71975,18.68076,12.69857,3.47731,6.7543,15.85507,43.055,41.55751,25.48672
23.94766,5.90221,,17.35025,10.36634,15.15981,40.46609,26.73099,17.14364,9.41648,14.14957,9.5591,8.70539,15.31571,11.6838,3.54516,13.90695,10.48207,33.05723,31.57129,15.48822
