1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
53.96303,45.81816,53.2229,8.14041,8.84305,6.1783,2.58204
53.9597,45.81771,53.22243,8.14018,8.84255,6.17707,2.58124
53.96222,45.81731,53.21902,8.14077,8.8422,6.17686,2.58007
53.96181,45.81389,53.22141,8.14036,8.84164,6.17646,2.57988
53.96141,45.81648,53.2212,8.13995,8.84109,6.1758,2.57936
53.95808,45.81598,53.22079,8.13954,8.84079,6.17665,2.57869
53.96067,45.81564,53.20937,8.13713,8.84049,6.1763,2.57858
53.96023,45.81221,53.21196,8.13672,8.83994,6.17484,2.57815
53.95978,45.81459,53.21161,8.13632,8.83964,6.17419,2.57768
53.95632,45.81435,53.21114,8.13591,8.83914,6.17403,2.57702
53.95896,45.81396,53.20773,8.13532,8.83879,6.17363,2.57689
53.95855,45.81054,53.21036,8.13509,8.83829,6.17322,2.57553
53.95815,45.81311,53.2099,8.13468,8.83693,6.17156,2.575
53.95482,45.81263,53.2095,8.13427,8.83638,6.17141,2.57433
53.9574,45.81228,53.206,8.13386,8.83583,6.17105,2.57422
53.95697,45.80891,53.20867,8.13345,8.83553,6.1706,2.57379
53.95652,45.81149,53.20831,8.13405,8.83516,6.16994,2.57332
53.95319,45.81099,53.20784,8.13364,8.83468,6.16978,2.57266
53.95552,45.8106,53.20444,8.13223,8.83438,6.16938,2.57253
53.95529,45.80706,53.20703,8.13082,8.83388,6.16897,2.57117
53.95489,45.80976,53.20661,8.13024,8.83353,6.1682,2.57065
53.95156,45.80926,53.2062,8.13,8.83303,6.16796,2.56985
53.95414,45.80892,53.20279,8.12959,8.83267,6.16681,2.56968
53.95371,45.8055,53.20518,8.1292,8.83212,6.16635,2.56944
53.95326,45.80813,53.20502,8.12879,8.83157,6.16569,2.56896
53.94993,45.80763,53.20455,8.12838,8.83127,6.16555,2.5683
53.95251,45.80725,53.20114,8.12797,8.83098,6.16514,2.56818
53.95203,45.80382,53.20373,8.12756,8.83042,6.16474,2.5668
53.95163,45.8062,53.20332,8.12815,8.82912,6.16408,2.56629
53.94816,45.8059,53.20291,8.12774,8.82862,6.16393,2.56562
53.95088,45.80557,53.1995,8.12716,8.82827,6.16357,2.56549
53.95045,45.80215,53.20213,8.12493,8.82777,6.16311,2.56508
53.95,45.80472,53.20172,8.12452,8.82741,6.16246,2.56461
53.94666,45.80428,53.20127,8.12411,8.82687,6.1613,2.56393
