ETHERNET-1024B,ETHERNET-128B,ETHERNET-12B,WiFi-1024B,WiFi-128B,WiFi-12B
2.53465,1.9058,2.2893,7.53672,6.43911,6.89063
2.56504,1.85926,2.23053,5.71073,6.39693,6.96834
2.61176,1.91256,2.23637,6.42142,6.55589,7.5641
2.68213,1.86227,2.46024,6.11435,6.31353,6.8863
2.57661,1.97073,2.63896,6.15451,3.27402,7.22162
2.54976,1.86025,2.26752,6.33268,8.51821,6.8918
2.55092,1.88943,2.18374,5.92388,8.41282,6.81385
2.60227,1.91919,2.29933,6.07592,6.5713,6.95367
2.62306,1.9857,2.32638,6.22396,6.184,7.68734
2.77497,1.89167,2.27139,6.26942,3.06607,8.3997
2.69021,1.94987,2.25273,6.1553,6.57376,6.90736
2.64386,1.85211,2.21763,6.06985,6.48315,6.94882
2.71673,1.95026,2.22028,6.42783,6.27525,7.87312
2.72323,1.92306,2.24359,5.91265,6.28207,7.1282
2.66392,2.10734,2.39273,7.312,2.93614,7.36431
2.61671,1.88302,2.54138,6.15816,6.37622,7.39328
2.58668,2.05597,2.32879,5.97135,6.30366,6.86212
2.73045,2.02594,2.19974,6.07538,83.75419,6.86101
2.6101,1.89067,2.22246,5.75097,14.62882,7.20386
2.69416,1.92975,2.31689,5.96313,77.35158,7.61674
2.79126,2.12177,2.36016,6.29617,8.66703,6.87274
2.72789,1.90453,2.26015,9.10465,80.77682,7.07433
2.77556,2.16611,2.23411,12.19658,12.81904,6.93398
2.68256,1.86133,2.0899,6.23728,81.6847,8.76688
2.73662,1.92158,2.38316,6.24292,3.6937,7.05643
2.97719,1.91091,2.36689,6.14402,123.93545,7.08692
2.8911,2.17613,2.32325,5.83326,103.4231,6.82024
2.5598,2.32187,2.23559,6.48714,68.12974,6.69483
2.72317,2.05597,2.15792,6.01955,39.66829,7.13775
2.69728,1.91617,2.28821,5.82328,15.65165,6.91272
11.43973,2.33596,2.23055,6.05614,6.47277,8.38812
3.56549,2.42957,2.26879,5.93761,131.23897,11.4557
2.42985,2.41488,2.29752,6.00513,103.21415,7.15966
2.6841,2.34758,2.36771,6.02772,76.68228,6.85492
3.82431,2.36301,2.40613,5.88099,49.72067,6.80088
2.85878,2.41518,2.27614,5.86695,6.56406,7.17058
2.58723,2.39548,2.6159,6.2123,7.69957,6.64826
2.56191,2.3528,2.30648,6.28804,6.21914,7.76071
2.62894,2.39178,2.2301,5.99047,6.42382,10.19038
2.56812,2.3459,2.28492,7.99869,3.19164,6.74785
2.77748,2.37901,2.28212,6.55429,6.49136,7.28693
2.68683,2.37349,2.16475,7.89626,6.33263,6.69885
2.52309,4.06458,2.20902,10.06406,6.53725,6.70288
2.7495,2.45665,2.17425,13.34468,6.64721,6.79309
2.57412,2.41321,2.32784,6.42114,3.13372,6.91571
2.77598,2.38571,2.25841,9.745,6.32005,7.11843
2.54191,2.39699,2.19755,6.03922,6.26646,6.74239
2.5823,2.3633,2.21985,5.88883,6.61793,6.9928
2.66754,2.33772,2.31765,6.25172,8.15285,7.21492
2.85628,2.39596,2.24198,6.40535,3.4168,6.85089
2.6802,2.3627,2.22133,5.95161,7.00835,7.02288
2.58189,2.32749,2.25495,8.65203,6.80595,7.062
2.4892,2.55287,2.20775,6.07011,6.39167,10.68404
2.74559,2.30344,2.16706,6.22895,6.49516,6.64101
2.67301,2.31241,2.27754,6.48562,3.26204,6.68731
2.62653,2.44121,2.2117,6.06177,6.52189,7.01464
2.59538,2.36489,2.25073,5.67732,6.4879,6.69168
2.5231,2.31265,2.22224,7.22457,6.50556,6.83147
2.47864,2.39611,2.12827,6.13922,6.84132,6.56418
2.68478,2.38352,2.20307,22.30165,3.41083,6.91949
2.66175,2.34773,2.32381,5.7901,6.26547,6.52254
2.67091,2.26473,2.22115,5.79994,6.68359,6.82757
2.56084,2.46665,2.20778,5.94214,6.28868,6.41035
2.79702,2.3609,2.21983,8.99822,6.40192,6.39354
2.60626,2.37693,2.48564,8.86696,3.55836,7.02959
2.5025,2.3452,2.24308,5.50747,6.33763,6.69438
2.6404,2.39893,2.25042,6.31046,6.2373,6.84746
2.50522,2.36446,2.2008,5.8987,6.7948,6.37256
2.65053,2.35666,2.21361,6.42903,7.2385,6.80207
2.55093,2.33388,2.3365,6.20719,6.88836,6.52871
2.65952,2.41529,4.50178,5.9921,6.36436,6.61725
2.61583,2.29457,2.94625,5.4935,6.21401,6.77476
2.64606,2.40214,2.32027,6.41643,6.40546,9.19605
2.81692,2.32057,2.25116,6.20057,6.01221,7.10224
11.12016,2.36357,2.50617,6.09603,3.06861,7.08554
2.96343,2.35261,2.28262,6.35962,6.30115,6.79964
2.27149,2.43548,2.33742,6.67033,6.30676,7.07709
2.30126,2.36251,2.2331,5.71075,6.2519,6.78282
2.28136,2.37282,2.23991,8.60105,6.57412,6.7965
2.27374,2.39208,2.3158,5.92686,3.27904,7.03119
2.50182,2.33155,2.22657,6.0687,6.56207,6.8368
2.45402,2.38308,2.25775,5.98429,6.38171,6.86842
2.40141,2.45688,2.1627,6.24961,6.46042,6.65562
2.42631,2.31206,2.13581,5.92063,6.36725,6.91533
2.3203,2.46171,2.32759,6.24114,3.23515,6.79345
2.37055,2.32404,2.19337,7.20352,6.36102,6.97135
2.27302,2.37775,2.30152,10.83949,7.58976,6.85565
2.29542,2.32771,2.27567,6.1976,6.57071,6.63308
2.41134,2.39442,2.21632,5.60935,6.40044,6.75023
2.44784,2.42733,2.15785,6.0337,3.11783,7.03604
2.36446,2.35616,2.24746,5.83086,6.24284,6.806
2.48105,2.26429,2.24823,5.83376,6.70837,6.87381
2.28978,2.51537,2.22868,6.25822,9.41188,6.8833
2.55278,2.65583,2.19358,5.70528,7.01387,7.02224
2.35379,2.4448,2.28852,6.28432,3.18606,7.83799
2.90019,2.34871,2.21203,5.44007,13.83288,10.46574
2.56929,2.36578,2.26011,5.72401,6.09048,6.62309
2.43213,2.27044,2.24293,6.84281,6.10841,6.69881
2.28002,2.37958,2.23513,6.00636,6.64235,7.29151
2.38014,2.316,2.32413,6.51609,3.21171,7.08674
