"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1174880,1143020,1050110,1060760,1051280,1051020,1065900,1047340,1049310
1165700,1139610,1135530,1068000,1049960,1049660,1064630,1054700,1047970
1156880,1055890,1141680,1066520,1048580,1048460,1063560,1053430,1046620
1093650,1141310,1138970,1065200,1047280,1047080,1061980,1052090,1045260
1178130,1137810,1053560,1063880,1054620,1045760,1060660,1051030,1052660
1169310,1142990,1139010,1062580,1053300,1053120,1059540,1049710,1051320
1160080,1059420,1136410,1061300,1051980,1051800,1067060,1048080,1050030
1088120,1144670,1133700,1059860,1050680,1050440,1065640,1046840,1048710
1172980,1141140,1056910,1067260,1049360,1049220,1063780,1054430,1047470
1163740,1137740,1142340,1065960,1048040,1047880,1062850,1053070,1046150
1163540,1054160,1139720,1064640,1046680,1046540,1061410,1051770,1044790
1091570,1148130,1137110,1063340,1054060,1045200,1060190,1050270,1052090
1176530,1144580,1051700,1062000,1052760,1052560,1067530,1048860,1050750
1167310,1141200,1137130,1060980,1051400,1051240,1066030,1047800,1049510
1158090,1057450,1134540,1068220,1050100,1050000,1064730,1046520,1048120
1086490,1142860,1140560,1066720,1048760,1048660,1063660,1053650,1046850
1179730,1139310,1055050,1065420,1047460,1047300,1062100,1052310,1045550
1170830,1135890,1140460,1064080,1054860,1045940,1060880,1051010,1052880
1161560,1060880,1137890,1062800,1053540,1044700,1059760,1049880,1051540
1089680,1146270,1135300,1061540,1052200,1051980,1067130,1048380,1050080
1174630,1142720,1049790,1060420,1050900,1050780,1065670,1047010,1048980
1165280,1139310,1143860,1067660,1049580,1049380,1064430,1054600,1047590
1156450,1055580,1141270,1066180,1048220,1048060,1062760,1053140,1046350
1093180,1140980,1138700,1064860,1046920,1046720,1061960,1051710,1044940
1178070,1146150,1053140,1063600,1054280,1045520,1060650,1050440,1052290
1168820,1142660,1138690,1062300,1052980,1052780,1058910,1049100,1050970
1159640,1059100,1136100,1061180,1051660,1051460,1066390,1047810,1049660
1087760,1144370,1133380,1068440,1050360,1050120,1065050,1046560,1048460
1172720,1140810,1056610,1066940,1049020,1048900,1064000,1054060,1047050
1163580,1137430,1142010,1065700,1047740,1047540,1062420,1052740,1045830
1163130,1053700,1139400,1064300,1055080,1046180,1061080,1051240,1044380
1091300,1147710,1136860,1063020,1053760,1044960,1059930,1049850,1051780
1176140,1144310,1051330,1061740,1052440,1052220,1067280,1048520,1050490
1166920,1140760,1136750,1060660,1051080,1051000,1065780,1047250,1049180
1157780,1057180,1134170,1067900,1049760,1049620,1064480,1054610,1047830
1085840,1142480,1140170,1066380,1048440,1048320,1063450,1053340,1046470
1179560,1138950,1054770,1065080,1047140,1046940,1061900,1051950,1045040
1170350,1135560,1140200,1063760,1054520,1045720,1060610,1050900,1052550
1161520,1060550,1137600,1062460,1053200,1053000,1059630,1049560,1051290
1089500,1145850,1134910,1061400,1051880,1051680,1066400,1048290,1049760
1174330,1142450,1049480,1059780,1050600,1050460,1065060,1046710,1048580
1165060,1138900,1143540,1067160,1049260,1049060,1063880,1054090,1047290
1156080,1055320,1141000,1065860,1047940,1047740,1062930,1052960,1045950
1092840,1140580,1138410,1064540,1046620,1046500,1061470,1051460,1044610
1177700,1145760,1052890,1063240,1054020,1045160,1060220,1050190,1052070
1168510,1142360,1138290,1061920,1052720,1052420,1067570,1048750,1050690
1159310,1058770,1135710,1060860,1051340,1051220,1066000,1047480,1049420
1087750,1144020,1133120,1068120,1050040,1049840,1064680,1046140,1048010
1172210,1140520,1056220,1066620,1048700,1048460,1063600,1053750,1046570
1163150,1137130,1141780,1065300,1047400,1047280,1062120,1052170,1045260
1162700,1053380,1139080,1063980,1054800,1045880,1060780,1050880,1052850
1090780,1147510,1136480,1062680,1053500,1053300,1059680,1049640,1051530
1175780,1143970,1050990,1061620,1052180,1051980,1067100,1048220,1050170
1166790,1140560,1136430,1060340,1050860,1050640,1065660,1047190,1048800
1157570,1056850,1142490,1067380,1049500,1049260,1064460,1054330,1047560
1085540,1142250,1139920,1066080,1048160,1047960,1062740,1052990,1046030
1179190,1138710,1054390,1064820,1046860,1046620,1061310,1051670,1044860
1169990,1143900,1139810,1063600,1054260,1045420,1060110,1050410,1052300
1160820,1060180,1137230,1062140,1052940,1052680,1067460,1048970,1050750
1089290,1145610,1134650,1061080,1051620,1051320,1066570,1047910,1049660
1173780,1142030,1049140,1068160,1050320,1050120,1065280,1046590,1048300
1164730,1138630,1143210,1066960,1049000,1048760,1063470,1053780,1046960
