TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
152.56148,181.90524,31.80876,129.72043,191.85531,241.28651,91.40922,38.12248,81.5552
145.60821,183.26876,33.37806,127.18267,186.88508,247.48488,101.53657,35.49645,81.21732
143.97725,182.07232,34.53363,129.76822,185.97579,246.13537,93.2226,34.96793,84.04346
149.24476,188.78689,31.61493,128.93979,190.77446,242.77719,92.04301,37.76289,80.70591
143.36032,185.43169,30.89933,128.64928,186.33743,245.91315,95.5138,37.08094,81.15421
144.1501,182.14157,34.68382,129.12885,188.35038,242.01045,96.57123,40.12541,89.6154
150.09916,183.49654,31.40515,126.02369,193.16771,244.21667,96.4004,34.62458,81.42367
146.87939,181.48017,30.16053,125.17913,193.53699,246.29665,93.60881,44.4195,79.74359
142.89609,182.97832,33.67103,129.6513,188.08335,242.26669,102.53421,35.58781,80.93468
143.41633,183.99077,31.71029,129.37781,188.22217,243.18,93.34232,40.11778,88.689
145.95349,180.25442,30.66872,129.2832,190.75852,246.36753,99.04705,35.12417,78.74658
144.81267,181.53938,31.61317,131.34193,191.54907,245.69344,90.4401,35.98079,82.94801
144.73724,187.48902,32.45845,136.31378,190.13755,244.52723,92.15504,36.33096,84.79714
148.92921,182.42615,29.47776,127.50905,187.25828,245.09231,90.98028,34.88844,83.39909
145.15933,182.88448,32.99328,128.20484,188.21846,242.66658,94.18049,37.59989,81.23297
147.88531,181.87503,32.54571,126.1912,188.37013,244.43758,95.42603,35.69763,79.85588
148.10214,183.13535,30.37153,127.45152,187.74034,246.9908,93.77248,38.8309,79.37357
150.50966,181.21494,37.30642,129.14092,187.47917,251.84299,97.83368,33.4279,80.16618
146.02542,180.27538,29.20495,129.84442,187.89316,246.90151,96.56635,43.70466,79.10359
143.62273,184.76027,36.56201,130.37764,188.29756,245.24954,93.19626,40.96645,81.119
145.41802,187.69079,33.09268,126.92481,190.13561,242.10653,95.62071,39.99048,81.11526
146.95073,182.80858,33.68601,126.48507,186.07332,250.99028,98.38346,40.76753,79.18925
144.42639,184.58548,32.38853,129.45399,188.71084,244.19486,95.56479,34.72599,93.76803
147.57009,184.8443,31.44794,129.71131,186.07462,241.35963,92.88012,38.64161,81.55579
143.36804,182.08036,284.5712,128.51666,188.89738,245.7139,97.07997,33.84693,79.90716
147.30714,182.26792,39.14753,130.67105,190.08814,242.45227,93.42992,36.67413,83.1192
148.10438,182.45445,30.55727,130.41248,189.96189,250.75169,95.10434,35.23632,79.97572
147.88959,183.84632,35.40056,128.57478,186.90171,251.89769,102.25881,36.87936,88.48448
144.55409,182.1472,31.12991,127.52526,190.3585,243.15542,96.37385,36.91694,84.30752
144.98209,181.42565,32.72037,133.08066,188.64254,244.77963,92.88525,32.84264,80.3833
144.94093,181.52042,36.20668,129.33509,193.14882,242.34519,92.64104,33.881,86.17519
142.94033,186.24602,37.99101,126.86847,187.8335,247.31577,93.40829,45.50469,84.18905
153.85151,183.17545,31.32363,127.86977,187.81956,250.69497,92.75563,33.61912,80.01792
144.93613,181.63804,35.41035,128.4323,193.13678,244.09393,97.9345,34.9497,81.74886
143.40434,187.52586,46.33129,131.53665,186.34706,244.46658,101.53962,37.31548,80.92371
152.08052,183.57835,58.99461,130.63525,195.53486,245.495,93.18665,40.09048,81.3595
145.54218,180.77432,32.0591,129.31643,192.2639,246.7396,94.91882,38.04199,83.12657
143.93041,182.77218,28.69363,131.80322,189.35982,245.23014,93.28687,34.13467,88.32027
144.62197,181.64669,28.95706,128.81568,187.79805,247.4879,96.01924,37.23504,83.60667
147.63434,185.01249,29.8655,133.09283,188.76464,243.75574,91.38252,38.16675,89.81415
149.42503,181.73836,32.54182,133.15373,188.80885,245.20106,95.71584,32.66699,84.85906
149.38614,188.79368,31.16317,133.16102,187.70927,241.45005,91.41812,37.97092,79.29789
147.9134,182.95748,37.87266,130.27682,187.67317,244.62579,94.62677,33.68561,79.27177
150.86949,183.36249,32.98152,133.81477,186.35924,245.49714,94.23979,37.18293,80.84857
143.38417,182.33535,34.08336,127.80648,187.22306,244.60762,90.63105,34.10102,87.18875
145.11661,183.20258,30.67883,126.36299,186.11889,242.3711,94.50041,34.70273,83.86444
143.42056,189.44208,31.42229,130.87028,190.5793,242.47006,92.8701,35.76605,79.32076
146.08387,186.02453,31.53068,127.18161,191.05813,243.10193,94.37858,32.90279,86.11391
145.48105,181.2625,35.3931,127.34758,196.21891,244.3152,93.84388,33.40907,83.94927
155.48937,186.30719,29.37736,126.09754,197.10352,244.35715,96.79958,33.0688,80.73109
145.23328,185.55563,29.38135,133.49216,201.30476,242.82108,91.63777,45.93375,86.5572
145.05264,180.59441,37.35821,133.26759,188.95817,246.42889,96.12912,34.5501,84.90714
146.02325,182.01838,31.50477,131.16021,187.77625,249.93783,93.64486,41.64303,84.32134
144.92855,180.87753,36.4578,127.89409,191.79101,245.224,92.0207,35.36968,85.16544
146.11057,183.22667,34.17157,131.29583,188.47841,245.74425,95.19002,35.38829,86.33748
